Ticker,Ratio
ABT,4:1
HWM,1:1
AEG,1:1
MO,4:1
AEM,6:1
AMX,1:1
AXP,15:1
AIG,5:1
AMGN,30:1
ADI,15:1
AAPL,20:1
AMAT,5:1
T,3:1
ADP,6:1
AVY,18:1
CAR,26:1
AZN,2:1
BBVA,1:1
BBD,1:1
BSBR,1:1
BAC,4:1
BCS,1:1
GOLD,2:1
BAS GR,2:1
BAYN GR,3:1
BHP,2:1
BA,24:1
BP,5:1
BMY,3:1
BG,5:1
CAH,3:1
CAT,20:1
CX,1:1
CVX,16:1
CSCO,5:1
C,3:1
KO,5:1
KOF,2:1
CDE,1:1
CL,3:1
VALE,2:1
GLW,4:1
COST,48:1
MBG GR,4:1
DE,40:1
DTEA GR,3:1
DEO,6:1
DIS,12:1
DD,5:1
EBAY,2:1
EOAN GR,6:1
LLY,56:1
E,4:1
XOM,10:1
FNMA,1:1
FDX,10:1
FSLR,18:1
FMX,6:1
ORANY,1:1
FMCC,1:1
FCX,3:1
GE,8:1
GSK,4:1
GFI,1:1
GOOGL,58:1
PAC,16:1
ASR,20:1
TV,3:1
BSN GR,20:1
HOG,3:1
HMY,1:1
HDB,2:1
HL,1:1
HPQ,1:1
HMC,1:1
HHPD LI,2:1
HON,8:1
HSBC,2:1
IBM,15:1
IBN,1:1
INFY,1:1
ING,3:1
INTC,5:1
IFF,12:1
IP,4:1
JPM,15:1
JNJ,15:1
KMB,6:1
KGC,1:1
KB,2:1
KEP,1:1
LVS,2:1
LYG,2:1
ERIC,2:1
LMT,20:1
MMC,16:1
MCD,24:1
MDT,4:1
MELI,120:1
MRK,5:1
MSFT,30:1
MMM,10:1
MUFG,1:1
MFG,1:1
MBT,2:1
MSI,20:1
NGG,2:1
NEC1 GR,1:3
NEM,3:1
NKE,12:1
NSANY,1:1
NOK,1:1
NMR,1:1
NVS,4:1
NUE,16:1
OGZD,2:1
LKOD,4:1
ATAD,4:1
NLMK LI,2.1
ORCL,3.1
PCAR,3:1
PSO,1:1
PEP,18:1
PFE,4:1
PHG,5:1
PBI,1:1
PKX,3:1
PG,15:1
QCOM,11:1
BB,3:1
RIO,8:1
SHEL,2:1
SMSN LI,14:1
SAP,6:1
SLB,3:1
SIEGY,3:1
SNA,6:1
SONY,8:1
SCCO,2:1
SBUX,12:1
SYY,8:1
TSM,9:1
TIIAY,1:1
TEF,8:1
TX,4:1
TXN,5:1
BK,2:1
HSY,21:1
HD,32:1
TTE,3:1
TM,15:1
TRV,6:1
JCI,2:1
USB,5:1
UL,3:1
X,3:1
RTX,5:1
VZ,4:1
VOD,1:1
WMT,18:1
WFC,5:1
AABA,3:1
YZCAY,2:1
META,24:1
AMZN,144 : 1
NVDA,24 : 1
ADBE,44:1
BIIB,13 : 1
GILD,4 : 1
NFLX,48:1
TMO,22 : 1
PYPL,8 : 1
CRM,18:1
TSLA,15 : 1
AMD,10:1
NG,1 :4
TRIP,2 : 1
ANF,1 : 1
URBN,2 : 1
GRMN,3 : 1
SNAP,1 :1
VRSN,6 : 1
XRX,1 : 1
YELP,2 : 1
ROST,4 : 1
TGT,24:1
GS,13 : 1
V,18:1
ARCO,1 :2
DESP,1 : 1
AGRO,1:1
GLOB,18:1
BABA,9 : 1
BIDU,11 : 1
ABEV,1 :3
VIV,1 :1
JD,4:1
NTES,14 : 1
TCOM,2 : 1
YY,5 : 1
GGB,1 :4
BRFS,1 :3
CBD,1 :1
SBS,1 :2
WB,6:1
ITUB,1 :1
ERJ,1 :1
UGP,1 :1
SUZ,1 :1
EBR,1 :4
ELP,1 :3
TIMB,1 :1
SID,1 :8
TS,1 :1
SAN,1 :4
PBR,1 :1
VIST,3:1
ABBV ,10:1
BRK/B,22:1
BIOX ,1:1
AVGO ,39:1
CAAP ,1:4
DOCU ,22:1
ETSY ,16:1
GPRK,1:1
HAL ,2:1
MA ,33:1
PAAS ,3:1
PSX,6:1
UNP ,20:1
UNH,33:1
WBA ,3:1
ZM ,47:1
EFX,16:1
SQ ,20:1
SHOP ,107:1
SPOT ,28:1
SNOW,30:1
TWLO,36:1
COIN,27:1
SPGI,45:1
AAL,2:1
LRCX,56:1
EA,14:1
XP,4:1
GM,6:1
DOW,6:1
AKO.B,1:1
NIO,4:1
SE,32:1
ADS,22:1
LND,1:1
BAK,2:1
AAP,14:1
LAC,1:1
MRVL,14:1
MUX,2:1
NU,2:1
PAGS,3:1
PLTR,3:1
SHPW,1:2
STNE,3:1
SDA,2:1
PM,18:1
CVS,15:1
MDLZ,15:1
DAL,8:1
CCL,3:1
ACN,75:1
SCHW,13:1
MRNA,19:1
STLA,5:1
BKNG,700:1
TMUS,33:1
SPCE,1:2
RIOT,3:1
ROKU,13:1
RACE,83:1
SWKS,21:1
PINS,7:1
BKR,7:1
DHR,54:1
GT,2:1
ISRG,90:1
LAAC,1:1
NXE,1:1
ORLY,222:1
TJX,22:1
EQNR,6:1
ARM,27:1
IBIT,10:1
FXI,5:1
DJNJ3-XD004,1:1
